OBJECTID,PRICE_NODE,Node_Type,PRICEND_ID,Rec_ID,ACTIV_NODE,Plant,Unit,Substation,ISO_Zone,County,State,Plant_ID,Unit_ID,Settlement,Roll_LMP,Roll_WW,NW_LMP,RT_LMP,Latitude,Longitude
-1,HARRISON,Generator,886677,18295,Y,Harrison County Power Project,CC1,Lebrock Switching Station,AEPM_CSWS,Harrison,TX,74825,609754,HARRISON,25.340000000000000,24.539999999999999,25.989999999999998,0.000000000000000,32.396124000000043,-94.435803999999962
-1,INDNSUB_H_5,Generator,1217979,19633,Y,Station H,1, ,INDN_INDN,Jackson,MO,77839,386972,INDNSUB_H_5,24.140000000000001,21.420000000000002,26.329999999999998,0.000000000000000,39.106714000000068,-94.380372999999963
-1,INDNSUB_H_6,Generator,1217980,19634,Y,Station H,2, ,INDN_INDN,Jackson,MO,77839,402854,INDNSUB_H_6,24.140000000000001,21.420000000000002,26.329999999999998,0.000000000000000,39.106714000000068,-94.380372999999963
-1,INDNSUB_I_3,Generator,1217949,19635,Y,Station I,1, ,INDN_INDN,Jackson,MO,77838,386971,INDNSUB_I_3,24.180000000000000,21.449999999999999,26.370000000000001,0.000000000000000,39.056018000000051,-94.393182999999965
-1,INDNSUB_I_4,Generator,1217950,19636,Y,Station I,2, ,INDN_INDN,Jackson,MO,77838,402853,INDNSUB_I_4,24.180000000000000,21.449999999999999,26.370000000000001,0.000000000000000,39.056018000000051,-94.393182999999965
-1,INDNSUB_J_1,Generator,1217955,19637,Y,Jackson Square,1, ,INDN_INDN,Jackson,MO,75144,387167,INDNSUB_J_1,24.149999999999999,21.430000000000000,26.329999999999998,0.000000000000000,39.094716000000062,-94.411563999999942
-1,INDNSUB_J_2,Generator,1217956,19638,Y,Jackson Square,2, ,INDN_INDN,Jackson,MO,75144,397675,INDNSUB_J_2,24.149999999999999,21.430000000000000,26.329999999999998,0.000000000000000,39.094716000000062,-94.411563999999942
-1,INDN_BV_1,Generator,1217965,19643,Y,Blue Valley,ST1, ,INDN_INDN,Jackson,MO,1398,388147,INDN_BV_1,24.059999999999999,21.350000000000001,26.219999999999999,0.000000000000000,39.091989000000069,-94.326305999999988
-1,INDN_BV_2,Generator,1217966,19644,Y,Blue Valley,2, ,INDN_INDN,Jackson,MO,1398,388144,INDN_BV_2,24.059999999999999,21.350000000000001,26.219999999999999,0.000000000000000,39.091989000000069,-94.326305999999988
-1,INDN_BV_3,Generator,1217967,19645,Y,Blue Valley,3, ,INDN_INDN,Jackson,MO,1398,388145,INDN_BV_3,24.059999999999999,21.350000000000001,26.219999999999999,0.000000000000000,39.091989000000069,-94.326305999999988
